0.114	0.091	0.074	-0.006	1.000
0.114	0.091	0.032	0.039	0.000
0.114	0.091	0.032	0.039	0.000
0.114	0.091	0.032	0.039	0.000
0.114	0.091	0.032	-0.006	0.000
0.114	0.091	0.074	0.039	0.000
0.114	0.091	0.074	0.039	0.000
0.114	0.091	0.074	0.039	0.000
0.114	0.091	0.074	0.039	0.000
0.114	0.091	0.032	-0.006	0.000
0.114	0.091	0.074	0.039	0.000
0.114	0.091	0.074	-0.006	0.000
0.114	0.091	0.032	0.039	0.000
0.114	0.091	0.032	-0.006	0.000
0.114	0.091	0.032	0.039	0.000
0.114	0.091	0.032	0.039	0.000
0.114	0.091	0.032	-0.006	0.000
0.114	0.091	0.032	-0.006	0.000
0.114	0.091	0.032	-0.006	0.000
0.114	0.091	0.032	0.039	0.000
0.114	0.091	0.032	-0.006	0.000
0.114	0.091	0.032	-0.006	0.000
0.114	0.091	0.032	-0.006	0.000
0.114	0.091	0.032	-0.006	0.000
0.114	0.091	0.032	0.039	0.000
0.114	0.091	0.032	0.039	0.000
0.114	0.091	0.032	-0.006	0.000
0.114	0.091	0.032	0.039	0.000
0.114	0.138	0.074	0.039	0.000
0.158	0.091	0.032	0.039	0.000
0.158	0.091	0.032	0.039	0.000
0.158	0.091	0.074	0.039	0.000
0.158	0.091	0.074	0.039	0.000
0.158	0.091	0.074	0.039	0.000
0.158	0.091	0.074	0.039	0.000
0.201	0.138	0.116	0.039	0.000
0.201	0.186	0.116	0.039	0.000
0.201	0.234	0.159	0.039	0.000
0.244	0.282	0.201	0.084	0.000
0.287	0.330	0.243	0.084	0.000
0.374	0.425	0.328	0.084	0.000
0.417	0.473	0.370	0.084	0.000
0.503	0.569	0.412	0.129	0.000
0.547	0.617	0.497	0.129	0.000
0.633	0.712	0.581	0.174	0.000
0.719	0.760	0.666	0.174	0.000
0.806	0.903	0.750	0.219	0.000
0.935	0.999	0.793	0.264	0.000
1.022	1.095	0.877	0.309	0.000
1.152	1.190	0.962	0.355	0.000
1.281	1.334	1.089	0.400	0.000
1.368	1.477	1.173	0.445	0.000
1.540	1.621	1.300	0.535	0.000
1.756	1.812	1.427	0.580	0.000
1.929	2.051	1.553	0.625	0.000
2.145	2.242	1.680	0.715	0.000
2.361	2.433	1.807	0.761	0.000
2.577	2.577	1.934	0.806	0.000
2.837	2.768	2.018	0.851	0.000
3.010	2.959	2.103	0.851	0.000
3.226	3.150	2.230	0.896	0.000
3.442	3.342	2.314	0.896	0.000
3.614	3.533	2.399	0.941	0.000
3.831	3.772	2.568	0.986	0.000
4.090	4.059	2.695	1.031	0.000
4.349	4.298	2.821	1.076	0.000
4.652	4.537	2.948	1.121	0.000
4.911	4.728	3.075	1.167	0.000
5.127	4.919	3.202	1.212	0.000
5.343	5.111	3.329	1.257	0.000
5.516	5.254	3.456	1.302	0.000
5.645	5.397	3.540	1.347	0.000
5.775	5.589	3.625	1.392	0.000
5.861	5.732	3.667	1.392	0.000
5.905	5.876	3.709	1.392	0.000
5.991	6.067	3.794	1.392	0.000
6.034	6.258	3.836	1.392	0.000
6.121	6.401	3.878	1.437	0.000
6.250	6.545	3.920	1.482	0.000
6.380	6.688	4.005	1.482	0.000
6.510	6.832	4.047	1.527	0.000
6.639	6.975	4.132	1.527	0.000
6.812	7.119	4.216	1.573	0.000
6.898	7.214	4.259	1.573	0.000
7.028	7.358	4.301	1.618	0.000
7.115	7.453	4.343	1.663	0.000
7.201	7.549	4.385	1.663	0.000
7.287	7.644	4.428	1.663	0.000
7.331	7.692	4.470	1.708	0.000
7.417	7.740	4.470	1.708	0.000
7.460	7.788	4.512	1.708	0.000
7.503	7.836	4.512	1.708	0.000
7.590	7.884	4.554	1.708	0.000
7.676	7.884	4.554	1.753	0.000
7.763	7.931	4.554	1.753	0.000
7.806	8.027	4.597	1.753	0.000
7.892	8.075	4.597	1.798	0.000
7.979	8.123	4.597	1.843	0.000
8.022	8.170	4.639	1.843	0.000
8.065	8.218	4.597	1.843	0.000
8.152	8.218	4.597	1.843	0.000
8.152	8.266	4.597	1.843	0.000
8.195	8.218	4.597	1.798	0.000
8.195	8.170	4.554	1.798	0.000
8.195	8.123	4.512	1.753	0.000
8.152	8.027	4.470	1.753	0.000
8.152	7.931	4.470	1.708	0.000
8.108	7.836	4.428	1.708	0.000
8.022	7.692	4.385	1.663	0.000
7.936	7.597	4.343	1.663	0.000
7.849	7.453	4.259	1.618	0.000
7.719	7.358	4.216	1.618	0.000
7.590	7.214	4.174	1.618	0.000
7.460	7.119	4.090	1.573	0.000
7.244	6.975	4.047	1.573	0.000
7.115	6.832	3.920	1.573	0.000
6.898	6.736	3.878	1.573	0.000
6.726	6.640	3.794	1.573	0.000
6.553	6.497	3.709	1.527	0.000
6.337	6.354	3.625	1.527	0.000
6.164	6.210	3.498	1.527	0.000
6.034	5.971	3.413	1.482	0.000
5.905	5.828	3.286	1.482	0.000
5.775	5.636	3.202	1.437	0.000
5.645	5.493	3.117	1.437	0.000
5.559	5.350	3.033	1.392	0.000
5.429	5.206	2.948	1.347	0.000
5.343	5.111	2.906	1.347	0.000
5.213	4.967	2.821	1.302	0.000
5.127	4.919	2.779	1.302	0.000
4.997	4.824	2.737	1.302	0.000
4.911	4.680	2.695	1.302	0.000
4.781	4.585	2.652	1.257	0.000
4.695	4.489	2.610	1.257	0.000
4.565	4.393	2.568	1.257	0.000
4.479	4.250	2.526	1.257	0.000
4.435	4.202	2.483	1.257	0.000
4.306	4.107	2.483	1.257	0.000
4.263	4.011	2.441	1.257	0.000
4.176	3.915	2.399	1.257	0.000
4.133	3.820	2.399	1.257	0.000
